Time,Open,High,Low,Close,Tick Volume
1369209600,132.458,133.195,132.418,132.969,13693
1369224000,132.968,133.456,132.949,133.344,14217
1369238400,133.343,133.798,132.801,132.982,21352
1369252800,132.984,133.066,131.962,132.538,17005
1369267200,132.54,132.868,132.387,132.647,15012
1369281600,132.651,132.672,130.97,131.11,23218
1369296000,131.108,131.256,129.968,130.344,32424
1369310400,130.343,131.265,130.287,131.118,24546
1369324800,131.12,131.956,130.841,131.686,15653
1369339200,131.679,131.981,131.577,131.888,9402
1369353600,131.889,132.516,131.783,132.157,12803
1369368000,132.157,132.186,130.696,131.538,19907
1369382400,131.545,132.566,131.258,131.708,22263
1369396800,131.711,131.955,130.636,130.828,25266
1369411200,130.828,130.935,130.294,130.401,18853
1369425600,130.401,131.028,130.089,130.948,8246
1369612800,130.971,131.058,130.265,130.509,14978
1369627200,130.504,130.714,130.387,130.643,10248
1369641600,130.641,130.859,130.416,130.508,13743
1369656000,130.519,130.752,130.45,130.699,8863
1369670400,130.701,130.891,130.62,130.683,7961
1369684800,130.683,130.776,130.453,130.714,5616
1369699200,130.711,131.441,130.66,131.31,15350
1369713600,131.308,131.821,131.258,131.716,14656
1369728000,131.719,132.023,131.53,131.964,19757
1369742400,131.962,132.143,131.796,132.037,17810
1369756800,132.065,132.143,131.274,131.311,21183
1369771200,131.308,131.66,131.159,131.441,12705
1369785600,131.444,131.702,131.141,131.271,14756
1369800000,131.269,131.62,131.254,131.365,12771
1369814400,131.36,131.467,130.705,131.167,23434
1369828800,131.17,131.23,130.761,130.97,25751
1369843200,130.97,131.072,130.391,130.709,21746
1369857600,130.709,130.975,130.646,130.884,9827
1369872000,130.888,131.466,130.329,131.237,15708
1369886400,131.234,131.325,130.533,130.766,16007
1369900800,130.766,131.06,130.193,131.015,21621
1369915200,131.014,131.928,130.92,131.858,27246
1369929600,131.858,131.946,131.37,131.72,19196
1369944000,131.715,131.828,131.248,131.442,9830
1369958400,131.459,132.073,131.451,131.737,14465
1369972800,131.736,131.795,131.373,131.469,13151
1369987200,131.469,131.741,130.268,130.515,24455
1370001600,130.515,131.063,130.294,130.954,22587
1370016000,130.954,131.108,130.63,130.787,20534
1370030400,130.784,130.946,130.387,130.528,12021
1370217600,130.614,130.865,130.435,130.765,12221
1370232000,130.768,130.982,130.546,130.59,12616
1370246400,130.588,130.845,130.322,130.604,20719
1370260800,130.604,130.768,129.665,129.71,19357
1370275200,129.707,130.063,129.517,129.796,22600
1370289600,129.796,130.183,129.721,129.967,11123
1370304000,129.976,130.473,129.928,130.178,13910
1370318400,130.178,130.53,130.017,130.478,12665
1370332800,130.476,131.398,130.463,131.026,20928
1370347200,131.026,131.295,130.741,130.944,20929
1370361600,130.942,131.018,130.643,130.757,17801
1370376000,130.754,131.011,130.64,130.87,9577
1370390400,130.87,131.164,130.853,130.978,12700
1370404800,130.978,131.401,130.116,130.325,20309
1370419200,130.321,130.623,130.062,130.125,21209
1370433600,130.126,130.308,129.763,130.173,21284
1370448000,130.162,130.271,129.597,129.928,21061
1370462400,129.926,129.996,129.63,129.805,10196
1370476800,129.684,130.026,129.42,129.859,12666
1370491200,129.86,130.054,129.704,129.957,16547
1370505600,129.958,130.34,129.805,130.087,20251
1370520000,130.083,130.716,129.716,130.572,19980
1370534400,130.569,130.655,127.484,128.042,28496
1370548800,128.037,128.807,128.031,128.425,17026
1370563200,128.429,129.073,128.417,128.872,14351
1370577600,128.872,128.916,126.749,127.723,24412
1370592000,127.721,128.763,127.432,127.602,25480
1370606400,127.6,127.769,126.155,127.449,25821
1370620800,127.448,129.116,127.159,128.869,26739
1370635200,128.872,129.174,128.576,128.896,13016
1370822400,129.071,129.975,128.996,129.385,15151
1370836800,129.387,129.741,129.206,129.644,15644
1370851200,129.645,130.521,129.533,130.479,19398
1370865600,130.478,130.764,130.164,130.403,19466
1370880000,130.407,131.102,130.401,130.661,24891
1370894400,130.658,130.985,130.562,130.91,13079
1370908800,130.91,131.295,130.703,130.899,12091
1370923200,130.901,131.13,129.922,130.325,19965
1370937600,130.322,130.632,129.587,129.644,22756
1370952000,129.642,129.739,128.159,128.666,25171
1370966400,128.665,128.834,128.274,128.667,24062
1370980800,128.668,128.751,127.103,127.827,18707
1370995200,127.826,128.409,127.712,128.288,11921
1371009600,128.287,128.547,128.099,128.439,13905
1371024000,128.444,129.337,128.264,128.565,21091
1371038400,128.565,128.642,127.96,128.306,19193
1371052800,128.304,128.46,127.032,127.463,26036
1371067200,127.464,128.144,127.345,128.045,16477
1371081600,128.037,128.109,127.194,127.314,12374
1371096000,127.312,127.313,126.244,126.461,20724
1371110400,126.458,126.506,125.364,125.869,23540
1371124800,125.865,125.999,125.167,125.757,21986
1371139200,125.756,126.011,124.965,125.927,24246
1371153600,125.929,127.74,125.875,127.543,17563
1371168000,127.864,127.945,126.223,126.715,18619
1371182400,126.719,127.268,126.474,126.77,17418
1371196800,126.77,126.963,126.293,126.491,19528
1371211200,126.491,126.893,126.236,126.645,19265
1371225600,126.644,127.007,125.182,125.578,22213
1371240000,125.578,126.095,125.424,125.503,8203
1371427200,125.724,126.347,125.675,126.208,13002
1371441600,126.199,126.396,126.037,126.394,10216
1371456000,126.394,126.847,126.362,126.522,15720
1371470400,126.525,126.704,126.32,126.472,15194
1371484800,126.469,126.734,126.431,126.635,13541
1371499200,126.636,126.922,126.13,126.51,14511
1371513600,126.509,126.854,126.206,126.588,14055
1371528000,126.591,126.764,126.449,126.604,10388
1371542400,126.615,127.684,126.403,127.571,19025
1371556800,127.577,127.926,127.34,127.891,18727
1371571200,127.89,128.072,127.421,127.642,15988
1371585600,127.643,127.876,127.561,127.763,8313
1371600000,127.766,128.114,127.735,127.892,11110
1371614400,127.892,127.917,127.433,127.591,12515
1371628800,127.591,127.651,127.058,127.277,16824
1371643200,127.286,127.528,127.171,127.294,14246
1371657600,127.301,127.969,127.229,127.886,13381
1371672000,127.847,128.763,127.556,128.03,21232
1371686400,128.03,128.523,127.821,128.053,18478
1371700800,128.053,128.806,128.033,128.528,17103
1371715200,128.53,129.907,128.53,129.285,27282
1371729600,129.279,129.486,128.868,129.112,24148
1371744000,129.105,129.814,128.825,129.632,22354
1371758400,129.632,129.639,128.21,128.705,14926
